date,steps,distance,runDistance,calories
5/14/2017,9360,7207,47,267
5/15/2017,5966,4031,272,139
5/16/2017,3809,2723,129,104
5/17/2017,5900,4033,389,139
5/18/2017,9813,6536,63,220
5/19/2017,6429,4347,64,148
5/20/2017,13506,8932,0,290
5/21/2017,3544,2346,0,98
5/22/2017,5936,4074,193,146
5/23/2017,12618,9195,660,310
5/24/2017,17604,12798,512,411
5/25/2017,10338,7845,241,270
5/26/2017,6952,4849,0,164
5/27/2017,26122,18349,293,576
5/28/2017,20480,14344,154,454
5/29/2017,5272,3607,0,124
5/30/2017,10354,7448,479,248
5/31/2017,10016,6892,137,221
6/1/2017,5778,4001,68,141
6/2/2017,4579,3057,167,113
6/3/2017,10868,7179,126,235
6/4/2017,2234,1457,97,62
6/5/2017,3674,2514,126,87
6/6/2017,11315,8189,423,269
6/7/2017,17788,12788,163,399
6/8/2017,5459,3672,166,117
6/9/2017,8960,6306,100,214
6/10/2017,13480,9480,183,297
6/11/2017,19051,13334,98,414
6/12/2017,11668,8030,52,250
6/13/2017,7808,5219,137,160
6/14/2017,5347,4064,0,130
6/15/2017,14994,10759,887,356
6/16/2017,5108,3457,24,128
6/17/2017,17437,11516,164,377
6/18/2017,2160,1396,0,60
6/19/2017,4657,3314,167,120
6/20/2017,4862,3521,342,128
6/21/2017,2770,1950,253,75
6/22/2017,5164,3535,378,124
6/23/2017,5071,3503,297,118
6/24/2017,26745,19494,1056,675
6/25/2017,14538,10176,740,341
6/26/2017,3858,2685,334,98
6/27/2017,4713,3361,188,120
6/28/2017,5496,3803,311,136
6/29/2017,6548,4588,466,160
6/30/2017,15384,10372,712,338
7/1/2017,10228,6684,678,224
7/2/2017,10153,7500,351,267
7/3/2017,16628,12517,373,427
7/4/2017,18676,14266,469,503
7/5/2017,4904,3473,390,120
7/6/2017,19022,13515,763,442
7/7/2017,5025,3681,419,133
7/8/2017,10115,7149,584,259
7/9/2017,4262,3279,170,128
7/10/2017,2402,1680,249,62
7/11/2017,811,561,111,22
7/12/2017,2538,1777,228,67
7/13/2017,4737,3538,493,132
7/14/2017,2710,1880,198,76
7/15/2017,14709,9665,959,305
7/16/2017,10059,7309,167,237
7/17/2017,11211,7929,847,269
7/18/2017,2695,1901,377,71
7/19/2017,4565,3327,187,120
7/20/2017,7260,5154,491,183
7/21/2017,14818,9725,1040,305
7/22/2017,21404,14668,1072,476
7/23/2017,7558,5627,252,188
7/24/2017,12012,9154,391,331
7/25/2017,8734,5786,500,198
7/26/2017,4006,2829,430,107
7/27/2017,6238,4450,459,163
7/28/2017,17688,12093,904,391
7/29/2017,37126,26491,500,828
7/30/2017,23826,16986,373,543
7/31/2017,7119,5077,434,188
8/1/2017,4015,2852,356,107
8/2/2017,12065,8364,677,278
8/3/2017,2553,1806,307,70
8/4/2017,14331,10880,491,384
8/5/2017,17125,12100,689,409
8/6/2017,4690,3568,185,140
8/7/2017,2599,1870,180,66
8/8/2017,8692,6165,317,202
8/9/2017,13583,10250,376,345
8/10/2017,17925,12914,438,428
8/11/2017,5911,3923,310,131
8/12/2017,17040,11521,832,373
8/13/2017,10490,7743,192,261
8/14/2017,4005,2684,307,91
8/15/2017,5645,4047,404,154
8/16/2017,6877,4795,620,176
8/17/2017,5650,3881,403,129
8/18/2017,9389,6172,676,202
8/19/2017,15915,11255,392,362
8/20/2017,11850,9021,159,304
8/21/2017,5985,4309,215,149
8/22/2017,18335,12720,1400,428
8/23/2017,2866,1988,366,75
8/24/2017,8896,6635,145,237
8/25/2017,10408,7107,639,232
8/26/2017,17635,12489,463,408
8/27/2017,2665,1907,141,70
8/28/2017,7802,5555,737,198
8/29/2017,4885,3268,391,111
8/30/2017,3002,2112,346,80
8/31/2017,10176,7529,357,272
9/1/2017,3166,2212,221,79
9/2/2017,18094,13818,235,462
9/3/2017,30841,23002,519,793
9/4/2017,8752,5842,657,198
9/5/2017,3372,2477,256,95
9/6/2017,4600,3111,357,110
9/7/2017,5834,3930,509,134
9/8/2017,9773,7327,431,275
9/9/2017,14669,10141,802,334
